"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","SSC-A_Gain","BUV395-A_Gain","DAPI-A_Gain","BUV496-A_Gain","BUV661-A_Gain","BUV737-A_Gain","BUV805-A_Gain","BV421-A_Gain","BV480-A_Gain","BV605-A_Gain","BV650-A_Gain","BV711-A_Gain","BV786-A_Gain","BB515-A_Gain","BB630-A_Gain","BB700-A_Gain","BB790-A_Gain","APC-A_Gain","APC-R700-A_Gain","APC-Cy7-A_Gain","PE-A_Gain","PE-CF594-A_Gain","PE-Cy5-A_Gain","PE-Cy7-A_Gain","Time_Gain","UV_LaserDelay","VIOLET_LaserDelay","BLUE_LaserDelay","RED_LaserDelay","YELLOW GREEN_LaserDelay","UV_AreaScalingFactor","VIOLET_AreaScalingFactor","BLUE_AreaScalingFactor","RED_AreaScalingFactor","YELLOW GREEN_AreaScalingFactor","FSC-A-% rCV","SSC-A-% rCV","BUV395-A-% rCV","DAPI-A-% rCV","BUV496-A-% rCV","BUV661-A-% rCV","BUV737-A-% rCV","BUV805-A-% rCV","BV421-A-% rCV","BV480-A-% rCV","BV605-A-% rCV","BV650-A-% rCV","BV711-A-% rCV","BV786-A-% rCV","BB515-A-% rCV","BB630-A-% rCV","BB700-A-% rCV","BB790-A-% rCV","APC-A-% rCV","APC-R700-A-% rCV","APC-Cy7-A-% rCV","PE-A-% rCV","PE-CF594-A-% rCV","PE-Cy5-A-% rCV","PE-Cy7-A-% rCV","FSC-A","SSC-A","BUV395-A","DAPI-A","BUV496-A","BUV661-A","BUV737-A","BUV805-A","BV421-A","BV480-A","BV605-A","BV650-A","BV711-A","BV786-A","BB515-A","BB630-A","BB700-A","BB790-A","APC-A","APC-R700-A","APC-Cy7-A","PE-A","PE-CF594-A","PE-Cy5-A","PE-Cy7-A"
"04-SEP-2026",2026-09-04 08:29:57,2026-09-04,8H 29M 57S,"Unknown","Symphony A-3 (LSRFortessa)","MP6609370000002","Administrator",536,174,360,215,268,337,301,363,218,230,303,326,244,307,383,349,335,384,250,230,253,389,398,312,343,-73.58,-36.59,0,36.82,72.36,1.03,0.93,0.73,0.81,0.83,1.24,1.63,4.75,3.99,6.97,4.44,3.54,3.91,2.14,1.92,2.53,2.68,3.14,3.65,1.76,1.95,1.64,3.16,2.23,2.5,3.17,2.21,2.04,1.45,1.69,102562.0546875,105119.375,10071.40625,9950.94921875,9579.9052734375,9490.244140625,9444.2861328125,9495.1884765625,9670.20849609375,10006.3447265625,10166.4516601562,9547.3955078125,9561.3798828125,9098.8203125,9977.70556640625,10087.146484375,11393.2485351562,10607.9384765625,10380.3735351562,10494.259765625,10759.03125,9642.0068359375,10231.4150390625,10091.9814453125,11821.1196289062
"03-SEP-2026",2026-09-03 08:07:16,2026-09-03,8H 7M 16S,"Unknown","Symphony A-3 (LSRFortessa)","MP6609370000002","Administrator",536,174,360,215,268,337,301,363,218,230,303,326,244,307,383,349,335,384,250,230,253,389,398,312,343,-73.93,-36.77,0,36.76,72.25,1.03,0.94,0.73,0.79,0.82,1.22,1.76,4.9,4,6.8,5.16,4.6,4.85,1.66,1.54,2.08,2.56,3.43,3.89,1.79,2.23,2.58,3.33,2.35,2.97,3.5,2.47,2.3,1.98,3.26,102243.2265625,105806.3671875,10110.783203125,9795.80517578125,9311.5400390625,9322.55615234375,9067.17041015625,9105.7109375,9809.76025390625,10235.1865234375,10616.5146484375,9509.3310546875,9213.94482421875,8653.8984375,10292.9375,10603.2734375,11077.7583007812,10119.2802734375,9775.453125,9665.6064453125,9868.1494140625,9963.7626953125,10472.0834960938,9728.9814453125,11037.283203125
"03-SEP-2026",2026-09-03 08:05:23,2026-09-03,8H 5M 23S,"Unknown","Symphony A-3 (LSRFortessa)","MP6609370000002","Administrator",536,174,360,215,268,337,301,363,218,230,303,326,244,307,383,349,335,384,250,230,253,389,398,312,343,-73.93,-36.77,0,36.76,72.25,1.03,0.94,0.73,0.79,0.82,1.26,1.83,4.97,4.25,7.21,6.91,7.43,7.69,1.83,1.66,3.5,4,6.08,6.69,2.56,4.15,4.15,5.53,3.51,5.12,6.09,4.72,4.51,3.16,5.29,101979.12109375,105678.5234375,10375.0400390625,9908.80908203125,9340.0087890625,9350.62548828125,9499.98828125,9559.43505859375,9847.1572265625,10238.9033203125,10485.7778320312,9671.5908203125,9639.4375,9070.53173828125,10200.3500976562,10348.5219726562,11532.2983398438,10562.146484375,10099.5561523438,10272.34375,10501.2680664062,9670.07666015625,10163.9536132812,10083.6577148438,11919.4125976562
"02-SEP-2026",2026-09-02 08:47:21,2026-09-02,8H 47M 21S,"Unknown","Symphony A-3 (LSRFortessa)","MP6609370000002","Administrator",536,174,360,215,268,337,301,363,218,230,303,326,244,307,383,349,335,384,250,230,253,389,398,312,343,-74.44,-37.11,0,36.94,72.5,1.04,0.96,0.73,0.76,0.8,1.37,1.73,5.02,4.2,7.08,4.99,4.64,4.93,1.92,1.81,2.43,2.64,3.69,4.31,1.89,2.26,2.84,3.99,2.55,3.37,3.88,2.67,2.51,2.1,3.58,101928.1171875,104469.4609375,10191.5439453125,10004.166015625,9698.7958984375,9250.39453125,9038.5673828125,9051.416015625,9951.7529296875,10455.396484375,10749.0703125,9561.634765625,9381.8251953125,8914.7119140625,10012.802734375,10247.2490234375,10690.630859375,9848.2939453125,9377.244140625,9349.2890625,9573.1953125,9687.3369140625,10064.736328125,9416.2890625,10701.3779296875
"01-SEP-2026",2026-09-01 09:12:44,2026-09-01,9H 12M 44S,"Unknown","Symphony A-3 (LSRFortessa)","MP6609370000002","Administrator",536,174,360,215,268,337,301,363,218,230,303,326,244,307,383,349,335,384,250,230,253,389,398,312,343,-73.94,-36.94,0,36.88,72.37,1.02,0.94,0.72,0.77,0.8,1.54,1.68,4.88,3.61,6.93,4.08,3.71,4.06,2.52,2.42,3.03,3,3.47,4.32,1.95,2.12,2.12,4.18,2.97,3.21,3.96,2.14,2.01,1.38,1.87,101852.0859375,102436.734375,9859.3779296875,9900.640625,9633.4052734375,9580.6201171875,9779.6611328125,9777.716796875,9890.02734375,10112.1484375,10123.6953125,9869.123046875,10060.9814453125,9746.548828125,9549.2998046875,9585.44140625,11314.2890625,10636.240234375,10154.7119140625,10319.9189453125,10619.724609375,9064.080078125,9472.599609375,9989.73046875,11781.05078125
