"","Channel","Max intensity to area ratio","Center of mass median","Center of mass rSD","DateTime"
"Imaging","SSC (Imaging)","0.0062599173","0.0000000000","0.0000000000",2026-09-17 10:19:05
"Imaging.1","ImgB1 (535)","0.0046907687","19.1282424927","2.0506329536",2026-09-17 10:19:05
"Imaging.2","ImgB2 (600)","0.0045863311","0.0000000000","0.0000000000",2026-09-17 10:19:05
"Imaging.3","ImgB3 (790)","0.0043094815","0.0000000000","0.0000000000",2026-09-17 10:19:05
"Imaging.4","LightLoss (Imaging)","0.0000000000","0.0000000000","0.0000000000",2026-09-17 10:19:05
"Imaging.5","FSC","0.0039403997","0.0000000000","0.0000000000",2026-09-17 10:19:05
