"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","SSC-A_Gain","BB515-A_Gain","PerCP-Cy5.5-A_Gain","APC-A_Gain","APC-R700-A_Gain","APC-Cy7-A_Gain","BYG584-A_Gain","PE-CF594-A_Gain","PE-Cy5-A_Gain","PE-Cy7-A_Gain","BV 421-A_Gain","BV 510-A_Gain","BV 605-A_Gain","BV 650-A_Gain","BV 711-A_Gain","BV786-A_Gain","Time_Gain","Blue_LaserDelay","Red_LaserDelay","Yel Gr_LaserDelay","Violet_LaserDelay","Blue_AreaScalingFactor","Red_AreaScalingFactor","Yel Gr_AreaScalingFactor","Violet_AreaScalingFactor","FSC-A-% rCV","SSC-A-% rCV","BB515-A-% rCV","PerCP-Cy5.5-A-% rCV","APC-A-% rCV","APC-R700-A-% rCV","APC-Cy7-A-% rCV","BYG584-A-% rCV","PE-CF594-A-% rCV","PE-Cy5-A-% rCV","PE-Cy7-A-% rCV","BV 421-A-% rCV","BV 510-A-% rCV","BV 605-A-% rCV","BV 650-A-% rCV","BV 711-A-% rCV","BV786-A-% rCV","FSC-A","SSC-A","BB515-A","PerCP-Cy5.5-A","APC-A","APC-R700-A","APC-Cy7-A","BYG584-A","PE-CF594-A","PE-Cy5-A","PE-Cy7-A","BV 421-A","BV 510-A","BV 605-A","BV 650-A","BV 711-A","BV786-A"
"16-SEP-2026",2026-09-16 09:10:48,2026-09-16,9H 10M 48S,"Unknown","FACSCelesta","R66093300015","Administrator",546,202,309,329,256,216,247,372,358,281,302,142,197,309,268,241,287,0,19.15,38.47,-20.93,1.04,1.08,1.07,1.16,2.56,5.17,2.7,2.29,2.58,1.51,1.98,2.24,2.13,2.88,4.1,2.59,3.07,3.59,3.65,3.77,5.28,99194.09375,101071.765625,9639.1025390625,10241.619140625,9978.576171875,9581.400390625,9610.83203125,9634.0224609375,9725.8818359375,10008.7109375,9753.7568359375,9853.7255859375,9907.6953125,9700.0078125,9756.76171875,9865.6015625,9892.791015625
"15-SEP-2026",2026-09-15 08:14:13,2026-09-15,8H 14M 13S,"Unknown","FACSCelesta","R66093300015","Administrator",546,202,309,329,256,216,247,372,358,281,302,142,197,309,268,241,287,0,19.16,38.55,-21.04,1.04,1.08,1.07,1.16,2.51,4.92,2.83,2.43,2.99,1.36,1.56,1.94,1.81,2.26,4.07,3.28,4.26,4.48,4.19,3.98,4.48,99578.875,103864.3515625,10002.8447265625,10562.7021484375,10276.62890625,9836.14453125,9903.470703125,10273.7880859375,10344.3447265625,10570.0634765625,10247.3486328125,9866.2568359375,9985.4150390625,10042.7421875,9966.005859375,10096.546875,9990.90234375
"14-SEP-2026",2026-09-14 08:56:27,2026-09-14,8H 56M 27S,"Unknown","FACSCelesta","R66093300015","Administrator",546,202,309,329,256,216,247,372,358,281,302,142,197,309,268,241,287,0,19.1,38.36,-20.81,1.04,1.08,1.08,1.17,2.21,4.8,2.78,2.46,2.75,1.29,1.58,2.08,1.97,2.6,4.13,2.74,3.58,3.91,3.7,3.62,4.18,98250.4375,101781.4765625,9874.71875,10477.08984375,10399.236328125,9887.8408203125,9890.814453125,10212.5048828125,10251.314453125,10600.6826171875,10229.8896484375,9898.4453125,10095.1201171875,10067.9443359375,10105.7763671875,10260.7373046875,10143.029296875
"11-SEP-2026",2026-09-11 08:31:32,2026-09-11,8H 31M 32S,"Unknown","FACSCelesta","R66093300015","Administrator",546,202,309,329,256,216,247,372,358,281,302,142,197,309,268,241,287,0,19.61,39.28,-21.28,1.03,1.07,1.05,1.15,2.9,5.44,3.35,2.87,3.29,1.52,1.85,2.01,1.99,2.49,4.65,3.51,4.59,4.6,4.13,4.12,4.88,97689.90625,101152.0078125,9757.30078125,10481.572265625,10291.7666015625,9901.8193359375,9953.1123046875,9724.6689453125,9782.5654296875,10445.8056640625,10288.279296875,9692.787109375,9843.232421875,9734.76171875,10027.4521484375,10251.6181640625,10230.4267578125
"10-SEP-2026",2026-09-10 08:55:53,2026-09-10,8H 55M 53S,"Unknown","FACSCelesta","R66093300015","Administrator",546,202,309,329,256,216,247,372,358,281,302,142,197,309,269,241,287,0,19.75,39.7,-21.65,1.02,1.06,1.05,1.15,2.63,5.58,3.06,2.82,3.23,1.42,1.92,2.14,2.14,3.29,5.01,3.4,4.08,4.61,4.63,4.52,5.49,101286.64453125,101108.4609375,9759.029296875,10291.4501953125,10072.8505859375,9755.0966796875,9719.1005859375,9900.9501953125,9980.82568359375,10112.369140625,9823.373046875,9871.28271484375,10128.4111328125,9924.62451171875,10179.6015625,10086.9233398438,10025.1381835938
"09-SEP-2026",2026-09-09 10:49:54,2026-09-09,10H 49M 54S,"Unknown","FACSCelesta","R66093300015","Administrator",546,202,309,329,256,216,247,372,358,281,302,142,197,309,269,241,287,0,19.75,39.7,-21.65,1.02,1.06,1.05,1.15,2.22,4.96,2.67,2.59,2.55,1.51,2.19,2.14,2.14,3.72,5.38,3.08,3.54,4.18,4.43,4.46,6.07,102311.05859375,102176.3515625,9885.158203125,9981.474609375,9745.33056640625,9226.1552734375,9164.52880859375,10156.1796875,10230.8291015625,9686.751953125,9078.8486328125,9925.15234375,10213.376953125,10076.369140625,9847.73828125,9661.3662109375,9492.69384765625
"08-SEP-2026",2026-09-08 12:57:34,2026-09-08,12H 57M 34S,"Unknown","FACSCelesta","R66093300015","Administrator",546,202,309,329,256,216,247,372,358,281,302,142,197,309,269,241,287,0,19.12,38.34,-20.74,1.05,1.08,1.07,1.17,1.66,5.09,2.35,2.52,2.62,1.38,2.18,2.19,2.17,4.56,6.15,3.24,4.01,4.54,4.09,4.34,5.47,99185.2421875,99824.859375,9688.494140625,9999.24609375,9934.6572265625,9270.0791015625,9202.8291015625,9776.494140625,9879.5341796875,9819.8564453125,9119.203125,9703.5869140625,10005.4970703125,9885.146484375,9884.4033203125,9624.9501953125,9353.849609375
"04-SEP-2026",2026-09-04 09:19:00,2026-09-04,9H 19M 0S,"Unknown","FACSCelesta","R66093300015","Administrator",546,202,309,329,256,216,247,372,358,281,302,142,197,309,269,241,287,0,19.12,38.34,-20.74,1.05,1.08,1.07,1.17,2.14,4.69,2.35,2.57,2.78,1.89,2.88,2.3,2.32,4.57,6.67,3.94,4.05,4.68,5.09,5.88,7.85,99344.03125,100343.484375,9780.2666015625,10133.5703125,9997.6376953125,9449.109375,9465.9609375,9664.6171875,9742.7275390625,9923.0458984375,9491.7763671875,9780.9853515625,9951.888671875,9743.0703125,9758.4345703125,9625.1142578125,9527.1494140625
"04-SEP-2026",2026-09-04 09:00:12,2026-09-04,9H 0M 12S,"Unknown","FACSCelesta","R66093300015","Administrator",546,202,309,329,256,216,247,372,358,281,302,142,197,309,269,241,287,0,19.26,38.87,-21.4,1.03,1.09,1.06,1.16,2.46,5.01,2.69,2.17,2.82,1.51,2.12,2.04,2,3.32,5.1,3.36,3.6,4.18,4.31,-5805.39,6.3,103234.23828125,98477.5546875,9566.2705078125,10209.2065429688,10272.3198242188,9736.41259765625,9782.2001953125,9588.736328125,9712.2900390625,10074.8706054688,9740.50341796875,9656.02880859375,9882.51220703125,9700.908203125,10001.8759765625,-0.286635980010033,9689.23779296875
"03-SEP-2026",2026-09-03 09:00:35,2026-09-03,9H 0M 35S,"Unknown","FACSCelesta","R66093300015","Administrator",546,202,309,329,256,216,247,372,358,281,302,142,197,309,269,241,287,0,19.43,38.91,-20.99,1.04,1.08,1.06,1.17,2.47,4.98,2.7,2.77,2.58,1.6,2.43,2.31,2.26,4.25,6.06,3.11,3.3,3.86,4.39,4.87,7.26,104444.5625,101369.65625,9755.5517578125,10328.2963867188,10426.6850585938,9863.822265625,9844.2646484375,9608.3056640625,9694.703125,10116.2924804688,9692.27197265625,9920.541015625,10086.859375,9898.775390625,10172.3120117188,10009.7099609375,9962.75048828125
