"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-H_Gain","SSC-A_Gain","SSC-H_Gain","FITC-A_Gain","PerCP-Cy5-5-A_Gain","APC-A_Gain","APC-Cy7-A_Gain","BV421-A_Gain","BV786-A_Gain","BUV395-A_Gain","BUV805-A_Gain","PE-A_Gain","PE-Cy7-A_Gain","Alexa Fluor 700-A_Gain","BV510-A_Gain","PE-Alexa 594-A_Gain","BV605-A_Gain","BV650-A_Gain","DAPI-A_Gain","DAPI-W_Gain","BB630-A_Gain","BB660-A_Gain","BB790-A_Gain","BV570-A_Gain","BV711-A_Gain","BV750-A_Gain","BUV496-A_Gain","BUV563-A_Gain","BUV661-A_Gain","BUV737-A_Gain","PE-Cy5-A_Gain","PE-Cy5-5-A_Gain","Time_Gain","Blue_LaserDelay","Red_LaserDelay","Violet_LaserDelay","UV_LaserDelay","YG_LaserDelay","Blue_AreaScalingFactor","Red_AreaScalingFactor","Violet_AreaScalingFactor","UV_AreaScalingFactor","YG_AreaScalingFactor","FSC-A-% rCV","FSC-H-% rCV","SSC-A-% rCV","SSC-H-% rCV","FITC-A-% rCV","PerCP-Cy5-5-A-% rCV","APC-A-% rCV","APC-Cy7-A-% rCV","BV421-A-% rCV","BV786-A-% rCV","BUV395-A-% rCV","BUV805-A-% rCV","PE-A-% rCV","PE-Cy7-A-% rCV","Alexa Fluor 700-A-% rCV","BV510-A-% rCV","PE-Alexa 594-A-% rCV","BV605-A-% rCV","BV650-A-% rCV","DAPI-A-% rCV","DAPI-W-% rCV","BB630-A-% rCV","BB660-A-% rCV","BB790-A-% rCV","BV570-A-% rCV","BV711-A-% rCV","BV750-A-% rCV","BUV496-A-% rCV","BUV563-A-% rCV","BUV661-A-% rCV","BUV737-A-% rCV","PE-Cy5-A-% rCV","PE-Cy5-5-A-% rCV","FSC-A","FSC-H","SSC-A","SSC-H","FITC-A","PerCP-Cy5-5-A","APC-A","APC-Cy7-A","BV421-A","BV786-A","BUV395-A","BUV805-A","PE-A","PE-Cy7-A","Alexa Fluor 700-A","BV510-A","PE-Alexa 594-A","BV605-A","BV650-A","DAPI-A","DAPI-W","BB630-A","BB660-A","BB790-A","BV570-A","BV711-A","BV750-A","BUV496-A","BUV563-A","BUV661-A","BUV737-A","PE-Cy5-A","PE-Cy5-5-A"
"17-MAR-2026",2026-03-17 08:49:47,2026-03-17,8H 49M 47S,"Unknown","LSRFortessa","R660964000040","Administrator",504,504,201,201,371,326,238,226,168,282,357,345,345,305,216,218,352,332,298,NA,207,340,352,318,276,288,295,252,378,298,266,283,235,0,36.44,72.97,-37.43,-75.19,0.87,0.76,0.92,0.77,0.81,2.24,1.77,2.43,2.07,2.52,3.29,1.79,2.02,2.93,2.84,6.96,5.2,4.17,2.95,1.73,2.95,4.24,3.01,2.79,5.79,NA,3.05,2.97,3.02,2.97,2.63,2.77,5.98,5.7,5.18,4.99,4.67,4.64,90241.859375,92100.4765625,104500.515625,107958.7890625,16460.482421875,12819.32421875,14283.81640625,13342.5830078125,17133.298828125,15260.861328125,12603.8291015625,10594.609375,14894.322265625,12726.3427734375,13702.2392578125,19678.310546875,14435.17578125,20148.109375,17209.55078125,13715.04296875,NA,16045.69921875,15494.9892578125,13200.080078125,20546.58984375,14319.7724609375,14671.033203125,13209.638671875,12957.07421875,11225.099609375,10438.5908203125,12395.9228515625,12261.9921875
"16-MAR-2026",2026-03-16 08:51:54,2026-03-16,8H 51M 54S,"Unknown","LSRFortessa","R660964000040","Administrator",504,504,201,201,371,326,238,226,168,282,357,345,345,305,216,218,352,332,298,NA,207,340,352,318,276,288,295,252,378,298,266,283,235,0,36.44,72.97,-37.43,-75.19,0.87,0.76,0.92,0.77,0.81,3.95,1.48,3.13,2.45,3.28,4.23,1.6,2.05,6.1,5.15,7.83,5.74,5.78,3.9,1.63,6.16,5.74,5.75,5.35,7.16,NA,3.82,4.06,3.81,5.91,5,5.01,7.61,7.14,6.15,5.68,6.44,6.17,89611.4921875,90011.6796875,104289.58984375,103316.12890625,15871.4755859375,13557.0942382812,15582.3989257812,14843.7973632812,16564.0908203125,16410.8359375,14549.064453125,12244.4150390625,13900.400390625,14361.2333984375,15174.1845703125,18717.1845703125,13490.1772460938,18488.91015625,17744.9189453125,14546.6450195312,NA,14751.6918945312,15565.2250976562,14172.6352539062,18962.0859375,15212.212890625,15730.46484375,13569.3803710938,12937.1220703125,12567.4873046875,11982.5795898438,13515.9389648438,13742.5380859375
"13-MAR-2026",2026-03-13 08:45:33,2026-03-13,8H 45M 33S,"Unknown","LSRFortessa","R660964000040","Administrator",504,504,201,201,371,326,238,226,168,282,357,345,345,305,216,218,352,332,298,NA,207,340,352,318,276,288,295,252,378,298,266,283,235,0,36.55,73.18,-37.7,-75.38,0.89,0.76,0.91,0.79,0.83,2.66,1.55,3.03,2.49,3.37,4.29,1.98,2.85,6.07,5.21,9.06,5.94,5.81,5.08,2.64,6.22,5.72,5.72,5.3,7.57,NA,3.87,3.99,3.91,5.94,5.1,5.09,7.99,7.43,6.52,6.02,6.32,6.99,92272,92927.171875,105159.609375,105320.8125,16163.857421875,13623.1650390625,15362.140625,14528.3271484375,16299.08203125,15837.98828125,14074.9033203125,12118.51953125,13666.283203125,14097.916015625,14897.9091796875,18435.775390625,13268.2861328125,18262.119140625,17249.0234375,14580.9970703125,NA,15113.2734375,15677.4599609375,14187.728515625,18731.177734375,14746.8994140625,15173.6845703125,13695.6962890625,13068.62890625,12537.6044921875,11884.3798828125,12959.3564453125,13066.064453125
"12-MAR-2026",2026-03-12 08:35:39,2026-03-12,8H 35M 39S,"Unknown","LSRFortessa","R660964000040","Administrator",504,504,201,201,371,326,238,226,168,282,357,345,345,305,216,218,352,332,298,NA,207,340,352,318,276,288,295,252,378,298,266,283,235,0,36.29,72.5,-37.26,-74.28,0.93,0.78,0.92,0.79,0.85,6.72,5.98,5.3,4.99,6.02,6.78,5.16,5.08,3.45,2.91,7.89,5.36,6.19,4.22,4.98,3.89,6.09,3.62,3.16,5.73,NA,6.67,6.85,6.34,3.69,2.94,2.95,5.4,5.31,5.37,5.26,5.73,5.13,86483.2421875,81261.3203125,105369.59375,98006.984375,15319.4560546875,15163.453125,15509.2958984375,15747.6298828125,17353.6796875,19795.615234375,15585.98828125,14918.26171875,12725.1796875,15940.99609375,16052.5419921875,18959.1640625,12447.57421875,18072.244140625,20052.3046875,15474.216796875,NA,13394.560546875,15639.734375,16118.7109375,18779.44140625,18056.396484375,19037.30078125,14473.91015625,13212.97265625,14445.466796875,14662.2041015625,14554.525390625,15654.2080078125
"11-MAR-2026",2026-03-11 09:21:47,2026-03-11,9H 21M 47S,"Unknown","LSRFortessa","R660964000040","Administrator",504,504,201,201,371,326,238,226,168,282,357,345,345,305,216,218,352,332,298,NA,207,340,352,318,276,288,295,252,378,298,266,283,235,0,36.29,72.5,-37.26,-74.28,0.93,0.78,0.92,0.79,0.85,2.51,1.84,3.58,2.83,4.04,4.84,1.59,2.01,5.7,4.77,7.72,5.4,6.66,4.78,1.6,5.84,6.69,5.45,4.9,6.82,NA,4.43,4.62,4.43,5.6,4.67,4.59,7.36,6.78,5.88,5.31,7.7,7.76,95041.3125,90852.9609375,111559.0859375,104639.96875,16470.30859375,16256.4609375,17478.41796875,17671.69140625,16994.625,19369.3359375,16271.841796875,15343.3720703125,12982.802734375,17327.88671875,17905.89453125,18961.56640625,12629.583984375,17935.974609375,19506.25390625,15892.4111328125,NA,14542.9189453125,16801.81640625,17259.05859375,18645.37890625,17658.955078125,18608.03125,14787.0810546875,13540.1982421875,14768.173828125,15063.4970703125,14781.662109375,16246.986328125
"10-MAR-2026",2026-03-10 09:01:54,2026-03-10,9H 1M 54S,"Unknown","LSRFortessa","R660964000040","Administrator",504,504,201,201,371,326,238,226,168,282,357,345,345,305,216,218,352,332,298,NA,207,340,352,318,276,288,295,252,378,298,266,283,235,0,36.29,72.5,-37.26,-74.28,0.93,0.78,0.92,0.79,0.85,5.58,6.15,3.95,3.76,4.86,5.67,3.45,3.52,2.83,2.35,6.37,4.08,5.91,4.01,3.35,3.46,5.89,3.09,2.62,4.72,NA,5.36,5.52,5.15,3.26,2.47,2.47,4.83,4.48,4.07,3.99,6.31,5.85,90225.1640625,86507.6484375,105646.8046875,104629.0625,15334.0322265625,15256.6865234375,16678.05859375,16844.310546875,16956.109375,19585.365234375,16230.45703125,14910.0634765625,12035.7255859375,16033.6513671875,17150.59765625,18599.9140625,11895.3623046875,17769.306640625,19884.2109375,15754.091796875,NA,13365.5390625,15673.876953125,16222.318359375,18394.990234375,17790.22265625,18749.693359375,14562.591796875,13209.7373046875,14607.8798828125,14828.80078125,13991.390625,15362.859375
"09-MAR-2026",2026-03-09 09:30:41,2026-03-09,9H 30M 41S,"Unknown","LSRFortessa","R660964000040","Administrator",504,504,201,201,371,326,238,226,168,282,357,345,345,305,216,218,352,332,298,NA,207,340,352,318,276,288,295,252,378,298,266,283,235,0,36.1,72.37,-37.24,-74.5,0.9,0.76,0.91,0.8,0.82,3.41,3.53,3.96,3.28,4.71,5.88,2.27,2.68,3.22,3.01,8.31,6.08,7.74,6.04,2.29,3.74,7.82,3.49,3,7.29,NA,5.35,5.63,5.26,3.58,2.87,2.96,7.56,7.39,6.46,5.91,8.55,9.15,89507.84375,90509.6484375,106737.609375,107582.125,16193.6123046875,15455.9765625,16322.744140625,16948.10546875,17593.4453125,20021.109375,14959.40625,15438.751953125,12778.6162109375,16118.05859375,17103.171875,20043.53125,12372.8525390625,19293.009765625,19936.17578125,16320.06640625,NA,14301.8994140625,15887.349609375,16496,19980.44140625,18247.59765625,19418.482421875,15455.0751953125,14285.9384765625,14743.708984375,15391.08203125,13293.85546875,15060.892578125
"06-MAR-2026",2026-03-06 09:02:02,2026-03-06,9H 2M 2S,"Unknown","LSRFortessa","R660964000040","Administrator",504,504,201,201,371,326,238,226,168,282,357,345,345,305,216,218,352,332,298,NA,207,340,352,318,276,288,295,252,378,298,266,283,235,0,36.1,72.37,-37.24,-74.5,0.9,0.76,0.91,0.8,0.82,2.13,1.55,3.2,2.56,3.79,4.81,1.77,2.86,4.5,4.34,8.75,5.73,6.55,4.94,2.4,4.7,6.6,4.33,4.06,6.6,NA,4.31,4.41,4.45,4.46,4.05,4.26,7.11,6.55,5.9,5.82,7.26,7.59,91143.16796875,90346.484375,108533.15625,106035.6953125,16262.775390625,14860.0986328125,16328.9682617188,15661.783203125,16987.8955078125,17411.404296875,10452.810546875,12305.7778320312,13821.9458007812,15037.736328125,16105.517578125,19063.6513671875,13347.173828125,18807.7275390625,18723.01953125,13867.6762695312,NA,15208.4887695312,16425.4697265625,15384.4624023438,19251.4111328125,16427.2529296875,16760.689453125,12965.3227539062,12352.6845703125,12606.9291992188,12149.07421875,14013.65625,14393.8037109375
"05-MAR-2026",2026-03-05 08:16:58,2026-03-05,8H 16M 58S,"Unknown","LSRFortessa","R660964000040","Administrator",504,504,201,201,371,326,238,226,168,282,357,345,345,305,216,218,352,332,298,NA,207,340,352,318,276,288,295,252,378,298,266,283,235,0,36.2,73.19,-38.08,-74.49,0.96,0.77,0.93,0.86,0.83,1.74,1.43,2.98,2.54,3.72,4.35,1.45,1.86,5.13,4.22,7.14,4.89,6.5,6.63,1.49,5.15,6.29,4.76,4.3,5.92,NA,3.98,4.08,3.83,4.9,4.05,4.13,6.3,5.96,5.2,4.83,6.97,7.77,91605.9375,90213.84375,111127.828125,109143.3359375,16360.515625,16456.62109375,17225.95703125,17514.923828125,16541.61328125,19260.4453125,14810.392578125,14246.3408203125,11163.50390625,15601.2470703125,17745.474609375,18350.294921875,10896.23828125,17434.16796875,19382.50390625,14485.9267578125,NA,14334.3525390625,16788.18359375,17473.6015625,18185.09765625,17563.974609375,18470.77734375,13384.5380859375,12244.65625,13615.7451171875,14090.908203125,12789.8330078125,14111.9794921875
"04-MAR-2026",2026-03-04 08:07:56,2026-03-04,8H 7M 56S,"Unknown","LSRFortessa","R660964000040","Administrator",504,504,201,201,371,326,238,226,168,282,357,345,345,305,216,218,352,332,298,NA,207,340,352,318,276,288,295,252,378,298,266,283,235,0,35.39,71.14,-36.69,-73.34,0.9,0.77,0.93,0.79,0.83,1.26,1.02,3.5,2.99,4.8,5.16,1.63,2.14,5.75,4.64,7.35,5.19,7.83,7.99,1.7,6.12,7.81,5.37,4.77,6.54,NA,4.78,4.92,4.69,5.64,4.55,4.54,7.07,6.6,5.73,5.06,8.55,9.54,89171.76953125,90029.63671875,102906.47265625,108158.38671875,15172.0795898438,15564.5029296875,17395.8662109375,17574.578125,16437.9716796875,19272.9853515625,12086.783203125,12195.93359375,11102.2397460938,15881.9028320312,17907.9560546875,18208.669921875,10836.673828125,17341.6572265625,19456.6640625,12067.4858398438,NA,13300.541015625,15786.9248046875,16459.49609375,18063.4677734375,17695.4873046875,18570.6103515625,11206.1123046875,10256.4482421875,11816.16796875,12182.2407226562,13141.4501953125,14506.6079101562
"03-MAR-2026",2026-03-03 10:17:10,2026-03-03,10H 17M 10S,"Unknown","LSRFortessa","R660964000040","Administrator",504,504,201,201,371,326,238,226,168,282,357,345,345,305,216,218,352,332,298,NA,207,340,352,318,276,288,295,252,378,298,266,283,235,0,36.47,73.06,-37.73,-74.77,0.92,0.76,0.93,0.83,0.83,1.86,1.47,2.48,1.95,2.96,5.08,3.32,4.06,2.57,4.1,8.14,8.11,6.44,4.2,3.54,2.31,6.46,2.87,3.31,6.98,NA,4.18,3.65,4.72,2.82,3.74,3.91,7.31,7.55,7.55,8.08,5.82,5.47,91111.015625,90441.703125,111350.3046875,109525.578125,17268.91796875,13458.833984375,14108.09375,13126.564453125,17630.419921875,15486.2919921875,14525.095703125,11720.888671875,15803.5859375,13307.6630859375,13411.3154296875,19776.517578125,15389.2392578125,19976.83984375,17616.56640625,15543.9384765625,NA,16592.248046875,16435.388671875,13860.69140625,20388.318359375,14522.958984375,14885.5224609375,14751.576171875,14293.57421875,12467.8955078125,11474.1904296875,13960.15234375,13318.4453125
